T,X,V
233,224.7828865588311,0.0
234,224.75273911875874,0.0
235,224.72973949674991,0.0
236,224.7057024409,0.0
237,224.68777577364034,0.0
238,224.67751562820897,0.0
239,224.70806768965977,0.0
240,224.71873233251702,0.0
241,224.7222490960598,0.0
242,224.72835949611428,0.0
243,224.74213648616004,0.0
244,224.76358006479882,0.0
245,224.78294872530782,0.0
246,224.7778757833656,0.0
247,224.78046941402854,0.0
248,224.8284295059847,0.0
249,224.8565022022136,0.0
250,224.8707979094544,0.0
251,224.89172274845458,0.0
252,224.8795019235728,0.0
253,224.8805393596873,0.0
254,224.8606519605901,0.0
255,224.85506026142718,0.0
256,224.8632455402437,0.0
257,224.8632455402437,0.0
258,224.8372477167997,0.0
259,224.81580417522625,0.0
260,224.7760293715638,0.0
261,224.77043766189098,0.0
262,224.77914163828038,0.0
263,224.77562474696495,0.0
264,224.7808117685104,0.0
265,224.83292139246564,0.0
266,224.86203140929157,0.0
267,224.71111723917184,0.0
268,224.29399991530212,0.0
269,223.7432620971744,0.0
270,223.17522975988453,0.0
271,222.60719695713942,0.0
272,221.98820483523573,0.0
273,221.33802801464358,0.0
274,220.64144657091296,0.0
275,220.01674845745305,0.0
276,219.4588603713308,0.0
277,218.9131932826136,0.0
278,218.33386150388526,0.0
279,217.73516045131745,0.0
280,217.11409044617275,0.0
281,216.5108335363576,0.0
282,215.9197976904961,0.0
283,215.30328165543824,0.0
284,214.74746504547448,0.0
285,214.2038696098473,0.0
286,213.6582001282065,0.0
287,213.01620266700908,0.0
288,212.39761117691535,0.0
289,211.82594240748546,0.0
290,211.29001150155818,0.0
291,210.72445304214284,0.0
292,210.2190758764792,0.0
293,209.87176356885269,0.0
294,209.73710528685424,0.0
295,209.69421963095192,0.0
296,209.7252923442635,0.0
297,209.7298480891916,0.0
298,209.727256208302,0.0
299,209.726219452276,0.0
300,209.67214879297245,0.0
301,209.59259793449974,0.0
302,209.50641783111487,0.0
303,209.4477914241073,0.0
304,209.38098065384116,0.0
305,209.3743514137453,0.0
306,209.4197193471776,0.0
307,209.47886412445374,0.0
308,209.49667833401932,0.0
309,209.5685631922682,0.0
310,209.5980807006013,0.0
311,209.60771046629486,0.0
312,209.6719292543179,0.0
313,209.75240693790158,0.0
314,209.81103322406312,0.0
315,209.8487349986582,0.0
316,209.8777338959166,0.0
317,209.91491721521518,0.0
318,209.91076989757423,0.0
319,209.89491935209566,0.0
320,209.89440093123088,0.0
321,209.87347641119823,0.0
322,209.85307031177638,0.0
323,209.8265534049464,0.0
324,209.79951807728008,0.0
325,209.7847043622194,0.0
326,209.81122126763523,0.0
327,209.8509966258427,0.0
328,209.87906879590358,0.0
329,209.886734864912,0.0
330,209.89491935209566,0.0
331,209.90154857891724,0.0
332,209.9259918017126,0.0
333,209.95810108490275,0.0
334,209.9846179874828,0.0
335,209.97798876187645,0.0
336,209.953027127104,0.0
337,209.94028709743884,0.0
338,209.92247309724013,0.0
339,209.90010351894142,0.0
340,209.8889187123084,0.0
341,209.91139845187854,0.0
342,209.88747357263455,0.0
343,209.84977180679286,0.0
344,209.80544079502133,0.0
345,209.782034254914,0.0
346,209.744850829133,0.0
347,209.6938905221701,0.0
348,209.65359672340924,0.0
349,209.5883411482305,0.0
350,209.52360394478958,0.0
351,209.49201291309063,0.0
352,209.42323833331542,0.0
353,209.3529085773186,0.0
354,209.27439443932332,0.0
355,209.14947559577445,0.0
356,209.05718457512648,0.0
357,208.97918875010632,0.0
358,208.90834050845498,0.0
359,208.82578881266878,0.0
360,208.7880867434365,0.0
361,208.85034170950647,0.0
362,209.2058385550193,0.0
363,209.90098184679744,0.0
364,210.62264187457257,0.0
365,211.32337719264186,0.0
366,211.99915047465322,0.0
367,212.66570236833823,0.0
368,213.36332649952845,0.0
369,214.10176240095387,0.0
370,214.81419946681785,0.0
371,215.48737934493096,0.0
372,216.14833742255607,0.0
373,216.86895814495134,0.0
374,217.6084292455489,0.0
375,218.33256764880463,0.0
376,219.07763019576274,0.0
377,219.8288030025116,0.0
378,220.65289639641662,0.0
379,221.44891687129243,0.0
380,222.1689044156716,0.0
381,222.7262734817651,0.0
382,223.10009989312883,0.0
383,223.379562124002,0.0
384,223.5926200549205,0.0
385,223.5680651435902,0.0
386,223.19775651979973,0.0
387,222.7077168701386,0.0
388,222.2298981250793,0.0
389,221.68215742397575,0.0
390,221.0314611269811,0.0
391,220.36698753508998,0.0
392,219.74788079633566,0.0
393,219.16347530193642,0.0
394,218.58010652810475,0.0
395,218.01558799488527,0.0
396,217.36540806807903,0.0
397,216.68819244721345,0.0
398,216.04867782316106,0.0
399,215.38523833870264,0.0
400,214.7697582618961,0.0
401,214.19508992228438,0.0
402,213.63667995682445,0.0
403,213.03849438288518,0.0
404,212.44030852456157,0.0
